interval_start_s,interval_end_s,timestamp_start_s,timestamp_end_s,frames,fps,mean_ms,p50,p90,p95,p99
1105,1110,1104.966667,1109.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1110,1115,1109.966667,1114.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1115,1120,1114.966667,1119.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1120,1125,1119.966667,1124.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1125,1130,1124.966667,1129.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1130,1135,1129.966667,1134.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1135,1140,1134.966667,1139.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1140,1145,1139.966667,1144.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1145,1150,1144.966667,1149.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1150,1155,1149.966667,1154.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1155,1160,1154.966667,1159.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1160,1165,1159.966667,1164.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1165,1170,1164.966667,1169.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1170,1175,1169.966667,1174.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1175,1180,1174.966667,1179.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1180,1185,1179.966667,1184.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1185,1190,1184.966667,1189.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1190,1195,1189.966667,1194.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1195,1200,1194.966667,1199.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1200,1205,1199.966667,1204.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1205,1210,1204.966667,1209.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1210,1215,1209.966667,1214.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1215,1220,1214.966667,1219.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1220,1225,1219.966667,1224.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1225,1230,1224.966667,1229.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1230,1235,1229.966667,1234.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1235,1240,1234.966667,1239.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1240,1245,1239.966667,1244.933333,150,30.2,33.33,33.33,33.33,33.33,33.33
1245,1250,1244.966667,1249.333333,132,30.23,33.33,33.33,33.33,33.33,33.33
